Model,F1 mean,F1 SD,AUC mean,AUC SD,Train AUC,Overfit gap (train-val AUC)
Gradient Boosting (unconstrained),0.6354688863733111,0.008244703509055488,0.743072303751813,0.0041729755704956436,0.7937965639802009,0.05072426022838794
Gradient Boosting (monotone in engagement),0.6418975665369905,0.007025483752329148,0.7446263092283854,0.0056721263725565945,0.7811817192545448,0.036555410026159474
Logistic Regression,0.6495217081762528,0.00717409213087026,0.7434034172087535,0.004822333930827614,0.745422855037132,0.0020194378283785452
