Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,Train time (s),Parameters / nodes,Size (KB)
Logistic Regression,0.6795570079883806,0.6788659828958821,0.6277820414428242,0.6729740847387906,0.6495930117133214,0.7440418267618176,0.3839927120000084,53,1.1083984375
Gradient Boosting,0.6848220769789397,0.6805988941185561,0.6424764247642476,0.6445907034142329,0.6435318275154004,0.7437723816262882,0.5974226280000039,4148,247.326171875
Random Forest,0.679920116194626,0.6733183943128694,0.6432246998284734,0.6170300287947347,0.6298551333193365,0.7391871352948796,1.4540233359999775,241842,18957.1494140625
Decision Tree,0.6530501089324618,0.6519462013449664,0.5998463901689708,0.6425339366515838,0.6204568023833168,0.7077288308434002,0.14600178899996763,327,26.677734375
Dummy Baseline,0.558641975308642,0.5,0.0,0.0,0.0,0.5,0.05447111999995968,2,0.4658203125
